Address,School of Economics and Development Legon,School of Engineering Legon,School of performing Arts new building legon,Univiersity of Ghana Business School Legon,Faculty of Arts Legon,School of information and communication studies Legon,School of Agriculture Legon,School of Engineering Sciences Legon,School of Nursing and Midwifery Legon,School of Law Legon,School of Pharmacy Legon,School of Social Sciences Legon,School of Vetenary Medicine Legon,School of Graduate Studies Legon,School of Languages Legon,School of continuing and distance education Legon,Commonwealth Hall Legon,The Great Hall Legon,ISSER Conference Hall Legon,Cedi Conference Centre Legon,Legon Hall Legon,Jubliee Hall Legon,Legon Hall Annex A Legon,Legon Hall Annex B Legon,Legon Hall Annex C Legon,Akuafo Hall Legon,Akuafo Hall Annex A Legon,Akuafo Hall Annex B Legon,Akuafo Hall Annex C Legon,Mensah Sarbah Legon,Mensah Sarbah Annex C Legon,Volta Hall Legon,Liman Hall Legon,Kwapong Hall Legon,Jean Nelson Legon,Frances Sey Legon,Pentagon Block A Legon,Pentagon Block B Legon,Pentagon Block C Legon,Union Hostel Legon,Jubliee Hall Legon,Valco Trust Hostel Legon,International Student Hostel Legon,International Student Hostel 2 Legon,Bani Hostel Legon,Evandy Hostel Legon,Teachers Fund Hostel Legon,Addis-Ababa Court Legon,Kampala Court Legon,Nairobi Court Legon,University of Ghana Hospital Legon,University of Ghana Teaching Hospital Legon,University Hospital Legon,College of Humanities Legon,College of Basic And Applied Sciences Legon,College of Education Legon,Department of Computer Science Legon,Department of Economics Legon,Department of Geography and Resource Development Legon,Department of Animal Biology and Conservation Science Legon,Department of History Legon,Department of Adult Education and Human Resource Studies Legon,Department of Political Science Legon,Department of Economics Conference Facility Legon,Department of English Legon,Department of Psychology Legon,Department of Animal Science Legon,Department of Soil Science Legon,Department of Physics Legon,Sociology Department Legon,Chemistry Department Legon,Department of Agriculture Economics and Agribusiness Legon,Department of Family and Consumer Science Legon,Department of Philosophy and Classics Legon,Department for the Study of Religions Legon,Department of Mathematics and Statistics Legon,Department of Educational Studies and Leadership Legon,Department of Music Legon,Department of Crop Science Legon,Department of Earth Science Legon,Department of Botany Legon,Department of Linguistics Legon,Department of Nutritionn and Food Science Legon,Department of Archaeology Legon,Department of Animal Science Legon,Department of Biochemistry Legon,Department of Marine and Fisheries Sciences Legon,Conficius Institue Legon,Institute of Applied Sciece & Technology Legon,Institute of African studies Legon,New Institute of African Studies Legon,Institute of Statistical Social and Economic Research Legon,Maison Francaise Legon,GCB Lecture Building Legon,JQB Legon,K.A. Busia building Legon,Student Representative Council Builidng Legon,New N Block Legon,N Block Legon,Athletic Oval Legon,Sarbah Field Legon,University Basic School Legon,Balme Library Legon,Night Market Legon,UG Banking Square Legon,University of Ghana Sports Stadium Legon,University of Ghana Registry Legon,Bush Canteen Legon,Central Mosque Legon,University of Ghana Swimming Pool Legon,Taxi Station Legon,University of Ghana Sports Directorate Legon,Ayax Park Legon,Ajax 2 Legon,Bank of Ghana Audiotorium Legon,International Programmes Office Legon,University of Ghana Bookshop Legon,Caregie Writing Centre Legon,Basketball courts Legon,Recreational Quandrangle Legon
School of Economics and Development Legon,0,0.768476252,0.711333172,1.411206406,0.085840421,0.768039848,0.5189508,0.710325206,0.310250926,0.622611023,0.291011584,0.402288607,0.62542038,0.337553235,0.3189082,0.790735381,0.370923714,0.894395193,0.599666126,0.009876046,0.180697495,1.269197974,0.403050139,0.518515504,0.473255648,0.309216115,0.501161217,0.594658514,0.55647212,0.558459209,0.758817005,0.175645768,1.627906329,1.608450377,1.823407123,9.551854378,1.069053198,1.069053198,1.110543136,1.921938099,1.269197974,0.83107848,1.328248365,0.590611319,1.588959013,5.328557182,1.775319628,0.85624461,0.905828811,1.011771457,0.372313447,0.245362741,1.140518575,0.564518519,0.531654286,0.716587618,0.582168647,0.092124585,0.551848962,0.27117848,0.201821418,0.78996854,0.419485086,0.009485082,0.209684783,0.424485201,0.596907147,0.407632126,0.241576295,0.273781232,0.334767445,0.558091862,0.486403682,0.064184905,0.074450551,0.489540071,0.790582511,0.875744582,0.413338481,0.45912702,0.335468643,0.322937856,0.242148524,0.776577773,0.596907147,0.384327427,0.238017518,0.360156739,0.291414351,0.829424453,0.829424453,0.535674366,0.262260855,0.384721216,0.70315582,0.608277198,0.514679321,0.49441975,0.49441975,0.392257621,0.628699912,0.991562091,0.141983859,1.11500005,1.019079639,1.66447525,0.808946857,0.885618179,1.202669681,1.471989282,1.566702094,1.517855407,1.343222409,1.343222409,0.009876046,0.72196775,0.181806363,0.200006846,1.780488178,0.195534508
School of Engineering Legon,0.768476252,0,0.6755669,0.659447021,0.81688839,0.526717498,0.670861512,0.096687022,0.84558097,0.217171213,0.729648923,0.484338406,0.652342478,0.916174774,1.074578624,0.619774459,1.115611368,1.587601899,0.169250741,0.778352066,0.909879771,1.794057748,1.088191555,1.188207439,1.172635692,0.70139519,0.957671768,1.066809059,1.00033987,1.140158404,1.225748914,0.899579088,2.104246593,2.129558026,2.409331055,9.987705959,0.331235046,0.331235046,0.343336023,2.580103863,1.794057748,1.387646622,1.810035429,0.409646585,0.853838836,5.852495708,1.135858656,0.097270232,0.149058772,0.275891092,1.106558628,0.550922297,0.798709037,0.420798733,0.669184858,0.358954795,0.204057771,0.756320975,0.576738332,0.525389845,0.969585094,0.567187522,0.401537181,0.777571903,0.978122465,0.429102729,0.689466572,0.678553719,0.618469672,1.042247421,0.450846862,0.70883995,0.672352294,0.807721511,0.838290426,0.299434828,0.421773379,0.814820471,0.696234778,0.592577272,0.437099013,1.077817026,0.696197918,0.503214056,0.689466572,0.726658883,0.660275148,1.108629217,0.481331182,0.790084876,0.790084876,0.237341005,0.906279796,0.602635042,0.450301153,0.360128886,1.140507503,0.544392438,0.544392438,0.989173047,1.29133894,1.596901641,0.637986308,1.618683145,1.519597545,1.925858475,1.522284744,0.919583755,1.654406675,1.830958765,1.750665114,1.836858048,1.538608428,1.538608428,0.778352066,0.307328563,0.702352666,0.713427798,2.372672247,0.576530837
School of performing Arts new building legon,0.711333172,0.6755669,0,1.050582361,0.683202588,0.189652287,0.199336867,0.580121369,0.987274987,0.472370636,0.911752751,0.800449339,0.086102145,1.033899026,0.858190624,0.124621856,1.05102347,1.582964479,0.615281582,0.717119088,0.713246271,1.191312855,0.753901399,0.802032936,0.82823188,0.413364321,0.472051291,0.542694397,0.482475748,0.680083477,0.652660418,0.885520218,1.465241759,1.509445225,1.817105874,9.314884813,0.978558215,0.978558215,0.924957698,2.608872801,1.191312855,0.847533515,1.184367438,0.278927969,1.458448385,5.200875332,1.796297955,0.689783691,0.708027144,0.724112218,0.835481087,0.51732304,0.455962262,0.280207909,0.185965094,0.326913534,0.529447973,0.628922805,0.171222279,0.695203252,0.831955796,0.169563224,0.721456786,0.718871565,0.854298822,0.763210805,0.127341521,0.312013029,0.475292122,0.9011992,0.504364472,0.177086175,0.232478428,0.693822226,0.733610531,0.494409848,0.306964188,0.177330896,0.312694378,0.255039466,0.62160693,0.858392714,0.852042389,0.218740898,0.127341521,0.976715022,0.819915566,0.864787735,0.552318147,0.135523771,0.135523771,0.550832883,0.620989679,0.890698924,0.232103706,0.32259772,0.722262033,0.927743899,0.927743899,0.608118447,0.870009289,1.0678559,0.597491913,1.016310586,0.924350598,1.250305506,1.487849059,0.249939869,1.023805113,1.165101737,1.079099366,1.164778986,0.863928845,0.863928845,0.717119088,0.378661857,0.531924129,0.517924839,1.785806764,0.648703864
Univiersity of Ghana Business School Legon,1.411206406,0.659447021,1.050582361,0,1.447716423,0.861665144,1.156815289,0.701869867,1.504177607,0.793225669,1.387978187,1.14003686,1.080800883,1.575009824,1.700525283,0.935314417,1.769354231,2.246961687,0.82471513,1.420976561,1.532162754,2.240458715,1.679980293,1.765096551,1.764716022,1.273373083,1.476764145,1.570300142,1.504452513,1.681856755,1.699556165,1.553752899,2.495657803,2.551468337,2.866041712,10.21915077,0.497843107,0.497843107,0.370914947,3.23344477,2.240458715,1.888728204,2.226676577,0.901975601,0.559376093,6.191432788,0.997995716,0.563724291,0.511957848,0.399496529,1.719352508,1.175698621,0.834056256,0.926463892,1.148801864,0.774149699,0.829185439,1.383761972,1.052976597,1.182808747,1.608116152,0.882494395,1.060523184,1.420588933,1.619574321,1.085984599,1.13420587,1.214816457,1.22410338,1.682997518,1.078697674,1.174564269,1.174045733,1.442161683,1.476524503,0.922150821,0.752340101,1.094638033,1.229221577,1.114825655,1.090359134,1.703157648,1.355627816,0.833204981,1.13420587,1.378507934,1.319710227,1.729039964,1.119799873,1.098224185,1.098224185,0.87763083,1.503002229,1.255239293,0.848602092,0.86012597,1.701842452,1.181456362,1.181456362,1.557772178,1.856988852,2.108542823,1.273203521,2.066184739,1.974903164,2.176395641,2.181449982,1.219936447,2.065592371,2.161865078,1.963928702,2.13887629,1.791663908,1.791663908,1.420976561,0.740468993,1.312826244,1.31803293,2.83555663,1.22628535
Faculty of Arts Legon,0.085840421,0.81688839,0.683202588,1.447716423,0,0.760307308,0.485531344,0.75158663,0.383656797,0.654752977,0.375122487,0.481377776,0.597245191,0.40122732,0.257827909,0.772848325,0.370880717,0.902942836,0.650134397,0.081036678,0.100806485,1.183358767,0.319735538,0.43497497,0.392902421,0.27052102,0.425759618,0.514528251,0.480034221,0.472883113,0.676257379,0.213559691,1.542225485,1.522644169,1.739122226,9.466025763,1.126732043,1.126732043,1.160200936,1.931071391,1.183358767,0.74526807,1.242742916,0.596725451,1.649750195,5.243631029,1.848478996,0.9007029,0.948844807,1.048650057,0.299438795,0.272020386,1.124878785,0.569937753,0.4987293,0.727684542,0.622803513,0.065097878,0.533509272,0.343728604,0.164866472,0.778270954,0.489885521,0.083860668,0.181856189,0.499142898,0.56266587,0.372142718,0.238341468,0.24084599,0.370125942,0.519802399,0.452273835,0.022295799,0.051997382,0.527143185,0.795791313,0.839906625,0.374347877,0.439302514,0.394630408,0.261189049,0.327697427,0.771914715,0.56266587,0.468905001,0.323737346,0.294070437,0.335592452,0.793599579,0.793599579,0.580452958,0.177667223,0.46993139,0.703075109,0.620852351,0.428939378,0.578262006,0.578262006,0.307733075,0.545457635,0.906661513,0.1790349,1.029435484,0.933751371,1.58638438,0.811503852,0.838827843,1.118088894,1.389887528,1.49398736,1.437418528,1.271654472,1.271654472,0.081036678,0.739103833,0.156820142,0.166399942,1.696409196,0.260247461
School of information and communication studies Legon,0.768039848,0.526717498,0.189652287,0.861665144,0.760307308,0,0.324681974,0.436988212,1.007025058,0.351297682,0.915520876,0.757185847,0.226204418,1.062738936,0.969857386,0.09413877,1.130362584,1.660612126,0.505586322,0.775587826,0.811285678,1.380959902,0.89199632,0.954651243,0.971622963,0.50774928,0.636614804,0.718913726,0.65546492,0.846179996,0.838919251,0.942949805,1.65226271,1.698466722,2.006750563,9.483302532,0.808259959,0.808259959,0.744290381,2.688936659,1.380959902,1.031137616,1.373317498,0.202472693,1.274562009,5.382770235,1.623947823,0.523896437,0.535172784,0.53882748,0.960580445,0.53844856,0.378916669,0.221650365,0.313407652,0.168331787,0.422466685,0.698746929,0.236123612,0.681627818,0.920806455,0.041159269,0.667833205,0.776744988,0.940572576,0.710897146,0.28130095,0.417364087,0.527344873,0.994606176,0.490274071,0.327559245,0.351349207,0.765938323,0.806370366,0.421568097,0.120929217,0.289901284,0.425561831,0.326664529,0.591508174,0.970876934,0.858862992,0.029363854,0.28130095,0.965500507,0.822970616,0.983989915,0.544632204,0.27085762,0.27085762,0.459216016,0.738203724,0.863109775,0.089549242,0.220850764,0.879997602,0.876098311,0.876098311,0.751698734,1.03226563,1.251523964,0.635539505,1.205902992,1.11363127,1.412422451,1.571347024,0.402933383,1.212584006,1.344108272,1.228653958,1.33823586,1.021935543,1.021935543,0.775587826,0.219393164,0.603491331,0.595984611,1.975384113,0.658369794
School of Agriculture Legon,0.5189508,0.670861512,0.199336867,1.156815289,0.485531344,0.324681974,0,0.57541732,0.806920249,0.453690815,0.741607921,0.668756267,0.115230108,0.848693878,0.661352686,0.304308426,0.852029699,1.383776242,0.564599478,0.524049719,0.514025822,1.126417559,0.568916177,0.630133943,0.647482652,0.21504461,0.32021533,0.415649345,0.348944999,0.527635538,0.561005171,0.691134859,1.433655476,1.459580527,1.746610885,9.332633079,0.997265997,0.997265997,0.970699356,2.409535988,1.126417559,0.737964633,1.139247247,0.27088058,1.505646743,5.182426569,1.806535125,0.712082702,0.742966091,0.791680917,0.643239438,0.351874189,0.652106986,0.253460384,0.013372454,0.384595947,0.485582177,0.433473167,0.104401336,0.544333456,0.632646909,0.326972714,0.603234148,0.52598062,0.655065707,0.64138904,0.077956471,0.113399402,0.29224012,0.701922276,0.369175648,0.049084195,0.033299259,0.497114914,0.536472144,0.418253286,0.409921756,0.356795668,0.113370364,0.095359426,0.489109332,0.661763769,0.681380123,0.346799282,0.077956471,0.814788948,0.652454392,0.670250033,0.406513878,0.31047398,0.31047398,0.486841362,0.424818179,0.742792859,0.309836277,0.320506479,0.556725302,0.798375825,0.798375825,0.427198193,0.710202546,0.955688701,0.416447808,0.950392568,0.852290764,1.300837069,1.288514486,0.378777057,0.983630502,1.173885415,1.155735102,1.190352428,0.931712095,0.931712095,0.524049719,0.425301366,0.337558988,0.321804773,1.711667292,0.483167939
School of Engineering Sciences Legon,0.710325206,0.096687022,0.580121369,0.701869867,0.75158663,0.436988212,0.57541732,0,0.820167954,0.122433444,0.7062786,0.472225801,0.555687027,0.889292631,1.007830166,0.528906168,1.067803902,1.555254866,0.136519447,0.720142486,0.840981074,1.699971302,1.010166633,1.107165998,1.095033437,0.616261558,0.866645717,0.974802004,0.90807917,1.052835615,1.132058947,0.852524848,2.008351609,2.034713007,2.316595327,9.891203318,0.423166177,0.423166177,0.418156879,2.559151353,1.699971302,1.296579712,1.714657136,0.312968136,0.941164624,5.756327816,1.23191611,0.1516383,0.197529972,0.30364891,1.034813999,0.480995655,0.73133795,0.324425034,0.573432492,0.268663528,0.128795905,0.689053958,0.480385754,0.485840323,0.909038346,0.477898217,0.381479262,0.719650905,0.919453015,0.415985585,0.592857285,0.587438168,0.541348027,0.983222282,0.381594262,0.612751257,0.577869373,0.744338676,0.777253726,0.224958641,0.33860491,0.722910174,0.604889772,0.499054208,0.390169144,1.010813756,0.66647944,0.41498051,0.592857285,0.715739636,0.629162201,1.039688041,0.419143238,0.696754814,0.696754814,0.175803448,0.828644357,0.592931199,0.357421108,0.263450473,1.056277235,0.552792204,0.552792204,0.905515116,1.208488213,1.507434517,0.574384645,1.524374987,1.425524323,1.830371636,1.485094096,0.825431358,1.55867109,1.734281041,1.656763694,1.74040466,1.44371807,1.44371807,0.720142486,0.218681797,0.627669842,0.636829644,2.28030792,0.524508768
School of Nursing and Midwifery Legon,0.310250926,0.84558097,0.987274987,1.504177607,0.383656797,1.007025058,0.806920249,0.820167954,0,0.771506155,0.116352701,0.366441223,0.903688267,0.071285764,0.502362062,1.048098762,0.352439028,0.744137044,0.68642246,0.309875369,0.44685061,1.534159393,0.653967548,0.763817766,0.702604332,0.609357647,0.809044895,0.897329971,0.863608827,0.839776227,1.05551782,0.210902039,1.898840996,1.866454634,2.051850302,9.804346553,1.084671701,1.084671701,1.1611755,1.739037434,1.534159393,1.102750406,1.60395363,0.810074108,1.571219343,5.557993356,1.680551087,0.942438979,0.994410912,1.117525446,0.581843959,0.47331445,1.385941731,0.787423805,0.818678867,0.916138634,0.707927372,0.401749011,0.818577596,0.343182054,0.376037829,1.035949144,0.444062362,0.307143489,0.360168827,0.418776976,0.883729974,0.701403883,0.514977064,0.399341074,0.519817317,0.850384865,0.776155549,0.362260929,0.34056161,0.638123381,1.000413162,1.159583334,0.710058849,0.732661541,0.443443637,0.507275439,0.155803551,1.008958338,0.883729974,0.162821265,0.193865759,0.54927028,0.464882377,1.113890277,1.113890277,0.653207809,0.556703771,0.262888706,0.929147209,0.811677443,0.783586623,0.370868125,0.370868125,0.684433933,0.866732498,1.236016726,0.390943078,1.390811015,1.298909498,1.969734282,0.686663659,1.182629007,1.48842594,1.768747215,1.876365745,1.819008574,1.653208432,1.653208432,0.309875369,0.905723806,0.481703662,0.502938175,2.006836798,0.348662235
School of Law Legon,0.622611023,0.217171213,0.472370636,0.793225669,0.654752977,0.351297682,0.453690815,0.122433444,0.771506155,0,0.662612332,0.452272507,0.440053567,0.837660078,0.907466313,0.437534804,0.988695596,1.491589744,0.154743192,0.632212079,0.739255362,1.577596925,0.898168848,0.992194743,0.9832192,0.4989764,0.74483327,0.852607768,0.78582578,0.93300361,1.009630915,0.776436379,1.887152239,1.912587475,2.194198746,9.775493117,0.545596134,0.545596134,0.535136655,2.506206894,1.577596925,1.174647065,1.592876497,0.196862002,1.062344156,5.635578861,1.352940091,0.268487026,0.308698484,0.395024285,0.929006599,0.382876568,0.686319566,0.205044552,0.452088377,0.191349239,0.076851761,0.590606769,0.360529338,0.428658566,0.816287698,0.3922402,0.357821422,0.63208097,0.828793432,0.398577701,0.474317576,0.465758936,0.433120993,0.891665126,0.287881363,0.492012242,0.455547024,0.649851118,0.685180972,0.136536318,0.276335595,0.626063021,0.483082795,0.376630981,0.328448622,0.910157078,0.615707676,0.3344398,0.474317576,0.687718029,0.577650987,0.93680853,0.333807318,0.595874817,0.595874817,0.127266061,0.717667199,0.570306664,0.264219598,0.149927292,0.938717213,0.554820029,0.554820029,0.788673322,1.091846158,1.386160579,0.482270598,1.40204629,1.303143709,1.719877401,1.416028111,0.721147508,1.437260174,1.617082212,1.551468497,1.625504938,1.335606708,1.335606708,0.632212079,0.154959604,0.521260385,0.528170351,2.157965521,0.448911655
